row,loss,kld,cc,sim,nss,auc,ig,delta_loss,delta_kld,delta_cc,delta_sim,delta_nss,delta_auc,delta_ig
baseline,0.819051,0.228921,0.702529,0.767625,1.320043,0.866799,1.588586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zero block 2 (/16),1.018433,0.248474,0.709762,0.756550,1.339179,0.863493,1.553959,0.199381,0.019554,0.007232,-0.011075,0.019135,-0.003306,-0.034628
zero block 5 (/16),1.033262,0.248244,0.695157,0.754022,1.311179,0.864376,1.552210,0.214210,0.019324,-0.007372,-0.013602,-0.008864,-0.002423,-0.036377
zero block 8 (/16),1.418539,0.283733,0.683842,0.734953,1.289429,0.859591,1.482966,0.599488,0.054813,-0.018687,-0.032672,-0.030615,-0.007208,-0.105621
zero block 11 (/16),1.905935,0.323349,0.619140,0.708411,1.151389,0.852858,1.398585,1.086883,0.094428,-0.083389,-0.059214,-0.168655,-0.013941,-0.190002
