neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
143,6.781450,8.367690,11.393196,15.611347
144,6.913247,9.155044,14.251864,21.351366
145,6.384350,8.097473,10.818035,15.806985
146,6.296623,8.125318,11.785631,15.374696
147,6.517216,8.420395,11.441864,15.715672
148,6.403191,8.164869,10.897689,15.346082
149,6.283288,8.643200,11.618025,16.545946
150,6.791647,8.891859,11.604870,16.643784
151,6.690731,8.470527,11.008517,15.515654
152,6.865270,8.980751,11.945763,16.895452
153,6.449199,8.055331,11.766508,15.921804
154,6.577272,8.238237,11.484797,16.591446
155,6.765973,8.059385,10.950891,16.062731
156,6.728938,8.826220,12.091789,16.363674
157,6.460308,7.634920,11.742900,16.146368
158,6.792966,8.429346,11.854921,16.121502
159,6.528955,8.697096,12.812999,17.269815
160,7.146036,8.577320,10.877959,15.730433
161,6.531703,8.947876,12.325359,15.968572
162,6.463068,8.631587,11.647573,15.717252
163,6.855324,8.679394,11.540377,16.919847
164,6.647943,8.223179,12.198762,16.310856
165,6.414964,8.199080,11.692657,16.593376
166,6.890220,8.575390,11.863612,16.161827
167,6.764157,8.002760,11.319803,15.850350
168,6.700303,8.470931,11.761941,16.189213
169,7.054564,8.693208,11.948793,15.620463
170,6.527098,8.810020,11.819523,16.751850
171,6.296355,8.436949,11.542271,15.343904
172,6.685628,8.912064,11.972012,17.151520
173,6.808558,8.109121,11.579042,16.862741
174,6.607635,8.143236,11.522657,16.116295
175,6.667671,8.901365,11.742275,16.258066
176,6.693048,8.700438,11.781346,16.425072
177,6.572844,8.389037,11.500553,16.098230
178,6.294765,8.749906,12.124545,18.196913
179,6.637072,7.964116,10.952878,16.094120
180,6.826067,8.678465,12.135946,16.352699
181,7.094328,8.629825,12.099465,16.597937
182,6.446403,8.374445,11.480050,15.477639
183,6.504816,8.443359,11.948349,16.214371
184,6.307508,8.327740,11.568128,16.499628
185,6.731780,8.280555,11.399696,16.293491
186,7.146881,8.296373,11.507584,15.852350
187,7.029793,8.668813,12.113920,16.878479
188,6.835045,8.705109,11.816989,16.872696
189,6.524817,8.743954,11.178099,16.510460
190,6.660587,8.417109,12.437704,16.595524
191,7.027601,9.029522,11.716215,16.928967
192,6.464393,8.303312,11.127212,16.763197
193,6.528236,8.261920,11.572430,16.165030
194,6.805436,8.460967,11.444614,16.150852
195,6.541692,8.178063,11.222161,16.919106
196,6.479390,8.681541,11.843513,15.803573
197,6.782547,8.856875,12.890108,18.405888
198,6.578927,8.577044,11.998203,17.774185
199,6.582019,7.863062,11.425055,15.581467
200,6.581911,8.333886,11.852224,16.349987
201,6.425531,8.420588,11.545397,15.949631
202,6.941787,8.435991,11.961545,16.794975
203,6.715452,7.958920,11.847212,16.918577
204,6.565447,8.356678,12.413433,17.315319
205,6.157361,8.745054,11.971559,16.618809
206,6.345465,8.566754,11.468932,15.892160
207,6.905859,8.960953,12.288779,15.621118
208,6.729298,8.410543,11.276693,17.055099
209,6.459300,8.279842,11.772664,15.407263
210,6.585671,8.684519,11.281832,16.098879
211,6.996881,8.544325,11.192589,16.759710
212,6.873994,8.789612,12.925731,17.249966
213,6.589756,8.704902,12.671712,16.905069
214,6.976147,8.492652,11.652883,16.471706
215,6.244031,7.921384,11.136197,16.351326
216,6.517584,8.209315,11.733077,15.526608
217,6.757937,7.982097,11.426888,16.236132
