row,loss,kld,cc,sim,nss,auc,ig,delta_loss,delta_kld,delta_cc,delta_sim,delta_nss,delta_auc,delta_ig
baseline,0.552864,0.206383,0.725664,0.785305,1.371217,0.869654,1.635853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zero block 2 (/16),0.581538,0.209338,0.728564,0.783280,1.378337,0.869159,1.629263,0.028674,0.002955,0.002899,-0.002026,0.007120,-0.000495,-0.006590
zero block 5 (/16),0.638324,0.214529,0.727497,0.779473,1.379592,0.868015,1.613694,0.085460,0.008146,0.001832,-0.005833,0.008376,-0.001639,-0.022159
zero block 8 (/16),0.733693,0.222634,0.719088,0.773562,1.363832,0.866798,1.589254,0.180829,0.016251,-0.006577,-0.011743,-0.007385,-0.002856,-0.046599
zero block 11 (/16),2.801624,0.413506,0.665113,0.668325,1.266329,0.858643,1.405465,2.248760,0.207123,-0.060552,-0.116981,-0.104888,-0.011011,-0.230388
