neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
143,2.458832,7.925611,27.192287,185.718048
144,2.449264,7.456591,28.420982,201.314423
145,2.461597,8.887514,29.382854,187.366394
146,2.670759,10.746311,31.611019,195.835449
147,2.658043,9.007536,28.685871,185.489487
148,2.846491,10.122523,30.902004,181.301086
149,2.723104,9.395865,31.099449,191.192627
150,2.543100,8.313177,27.769104,184.753906
151,2.431567,8.534906,29.840630,184.795181
152,2.555672,8.747526,31.413280,207.411270
153,2.413181,8.439957,28.315035,185.765732
154,2.647137,8.507504,31.180651,188.484634
155,2.266624,7.510197,30.352375,194.613907
156,2.840643,10.786322,34.289665,191.141373
157,2.558112,8.843878,28.699213,181.343872
158,2.866812,9.193686,30.459263,177.228439
159,2.287416,7.424518,27.886560,176.737213
160,2.435999,7.563179,27.515633,182.666962
161,2.719988,9.763246,32.189571,191.313049
162,2.487091,8.212572,30.522610,190.624557
163,2.581190,8.518808,28.288033,182.429382
164,2.901526,10.085558,30.109528,183.509079
165,2.366113,7.510643,27.780331,189.311493
166,2.240771,7.139168,28.609770,195.246368
167,2.462191,8.064228,30.629057,198.232971
168,3.240448,11.258892,31.844687,182.932251
169,2.662142,7.829952,27.925224,173.876907
170,2.469340,7.693315,27.284657,180.664856
171,2.611217,8.385735,28.820496,179.188782
172,2.406122,7.183978,27.929796,193.842850
173,2.929094,9.611416,32.060757,188.876801
174,2.590955,8.810466,28.640137,196.358154
175,2.958267,9.617294,30.626919,185.613373
176,2.367134,7.459454,28.340790,177.749969
177,2.651051,9.058348,27.333252,181.055740
178,2.965939,9.841696,31.580185,196.960068
179,2.314514,8.928059,31.364807,199.061874
180,2.390602,7.210760,28.638304,191.007828
181,3.100942,10.706822,31.790642,180.872040
182,2.625944,8.034278,27.845360,180.723923
183,2.679074,7.950100,32.574467,196.773575
184,2.381318,7.525637,30.042830,195.198837
185,2.359963,7.279223,27.807081,176.873245
186,2.647892,8.081607,29.744316,200.703949
187,2.986790,11.069548,31.495205,190.085205
188,2.348492,9.260077,30.203430,185.837219
189,2.607576,8.602212,28.749516,184.546631
190,3.114327,11.223412,31.682026,188.224380
191,2.249808,7.666617,29.244898,183.737625
192,2.836640,9.915218,31.698715,179.858109
193,2.625560,8.703300,29.356159,180.849228
194,2.301963,7.566693,27.473831,194.920319
195,2.380408,7.685966,27.959133,187.118927
196,2.687019,8.975801,32.664722,191.607101
197,3.077332,10.359513,31.030298,176.680664
198,2.767885,8.812848,29.443548,182.635620
199,2.990233,9.623282,33.998768,197.642899
200,2.300877,7.610336,29.089939,180.825912
201,2.692482,9.298898,30.648060,186.258850
202,3.270182,11.272896,36.247669,183.316208
203,2.464123,8.853225,30.426823,191.627350
204,3.026170,10.216079,31.889187,184.003418
205,2.630314,8.807924,28.374565,187.049133
206,2.573183,10.569904,33.442715,201.813110
207,2.394553,7.917036,27.886597,184.091064
208,2.914619,10.232083,29.659723,186.997284
209,2.503803,7.556193,28.561571,203.864960
210,2.477468,7.784435,28.717381,184.021469
211,2.912275,10.021036,31.396904,186.094299
212,2.571011,9.236038,30.757462,181.957504
213,3.231187,11.033567,31.754347,196.940750
214,2.328286,8.168149,29.666803,192.573074
215,2.663494,8.622306,29.801186,188.803925
216,2.466038,7.052682,27.502897,190.600388
217,2.833965,9.531843,29.225925,190.187286
218,2.829906,9.527423,28.193367,183.892395
219,2.463090,9.132180,30.462870,184.466980
220,3.250829,10.295151,32.024685,187.645218
221,2.500345,8.475595,29.277683,187.405029
222,2.621873,9.400325,31.221285,184.941711
223,2.438709,8.160347,29.128206,176.664948
224,2.457111,7.828334,29.121254,199.719223
225,2.574954,8.405801,31.518639,202.463470
226,2.814826,9.459538,30.337521,186.111633
227,2.477592,7.495987,27.861649,186.120255
228,2.937093,9.784239,30.878973,193.345444
229,2.691217,9.479572,29.361740,189.663803
230,2.411461,7.641326,28.148594,201.797913
231,2.780637,9.388863,31.488056,192.381790
232,2.409088,7.991296,27.730961,177.787354
233,3.140465,10.844130,33.871536,181.753998
234,2.686625,9.347441,31.203354,189.587006
235,2.532358,7.650806,27.644577,192.202454
236,2.449905,7.363601,28.450214,184.212860
237,2.709739,9.394449,29.131798,186.041824
238,2.198914,7.011232,30.409840,190.960632
239,2.804185,8.956127,30.907301,193.582596
240,2.457814,8.133850,28.704798,185.273117
241,2.310762,8.309860,29.935429,191.258606
242,2.635297,8.899800,30.817095,188.603714
243,2.530135,8.120868,27.960999,195.144684
244,2.799536,9.689178,30.195513,169.482803
245,3.029319,10.787875,29.816389,181.797165
246,2.655429,9.196513,30.633951,181.091537
247,2.934876,8.918515,30.711479,198.782822
248,2.214448,8.255725,27.823158,182.275467
249,2.371920,7.237849,29.361485,212.403046
250,2.598686,9.098539,27.643757,183.605316
251,2.452657,7.306165,28.187538,203.750793
252,2.452378,8.379747,28.660269,177.540009
253,2.159289,7.274645,28.791500,196.272385
254,2.413231,7.731597,29.790003,178.674210
255,2.548314,8.692228,28.960653,182.668091
column_sum,669.574768,2240.791504,7640.602051,48062.097656
