row,loss,kld,cc,sim,nss,auc,ig,delta_loss,delta_kld,delta_cc,delta_sim,delta_nss,delta_auc,delta_ig
baseline,0.624194,0.211355,0.709426,0.779935,1.338616,0.868717,1.625887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zero block 2 (/16),1.454892,0.290679,0.711250,0.740645,1.370151,0.857536,1.518508,0.830698,0.079323,0.001824,-0.039290,0.031535,-0.011181,-0.107380
zero block 5 (/16),1.122936,0.255167,0.678055,0.750675,1.280239,0.861233,1.517429,0.498742,0.043811,-0.031371,-0.029260,-0.058377,-0.007485,-0.108458
zero block 8 (/16),2.120805,0.344384,0.615614,0.707425,1.156178,0.850793,1.396281,1.496611,0.133029,-0.093812,-0.072510,-0.182439,-0.017924,-0.229606
zero block 11 (/16),2.518587,0.381257,0.606119,0.687865,1.135385,0.848666,1.361342,1.894393,0.169902,-0.103307,-0.092070,-0.203231,-0.020051,-0.264545
