row,loss,kld,cc,sim,nss,auc,ig,delta_loss,delta_kld,delta_cc,delta_sim,delta_nss,delta_auc,delta_ig
baseline,1.570574,0.297940,0.677718,0.731105,1.289141,0.855504,1.486090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zero stage1 (/4),1.862747,0.324841,0.669500,0.716159,1.272340,0.850516,1.426132,0.292173,0.026901,-0.008218,-0.014946,-0.016801,-0.004988,-0.059958
zero stage2 (/8),2.099105,0.346337,0.658786,0.705474,1.254938,0.846976,1.395619,0.528531,0.048397,-0.018932,-0.025631,-0.034203,-0.008528,-0.090471
zero stage3 (/16),3.193925,0.447140,0.618131,0.659339,1.187181,0.831717,1.251519,1.623351,0.149200,-0.059587,-0.071766,-0.101959,-0.023787,-0.234570
zero stage4 (/32),2.269707,0.360819,0.641025,0.697453,1.214204,0.845683,1.385356,0.699133,0.062879,-0.036693,-0.033652,-0.074937,-0.009821,-0.100734
