neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
143,2.665440,2.802621,5.410102,11.536058
144,2.690393,2.892426,5.116779,10.411837
145,2.695553,2.984189,5.313999,11.709710
146,2.748040,2.963787,5.426171,11.337502
147,2.658981,2.889459,5.075317,11.116888
148,2.633168,2.889989,5.122446,11.237051
149,2.841048,3.190825,5.463403,10.896080
150,2.663147,3.059611,5.148233,10.419598
151,2.623081,2.909810,5.166636,10.491337
152,2.828375,2.914294,5.238868,10.818630
153,2.746878,2.828869,5.038692,10.992362
154,2.844322,2.993538,5.064542,10.581384
155,2.628467,2.942994,5.620661,10.788695
156,2.632012,2.917288,4.956431,10.667656
157,2.721857,2.910867,5.210418,10.826187
158,2.802567,2.990194,4.968817,10.695341
159,2.574267,2.623572,5.006050,11.294646
160,2.537030,2.877160,4.834668,10.852501
161,2.786958,3.016249,6.078230,10.788420
162,2.664690,2.818439,5.271577,10.747142
163,2.746350,2.732047,4.910305,10.715092
164,2.694245,2.843944,5.046172,11.182692
165,2.811243,3.049430,5.573545,10.651340
166,2.611789,2.913491,5.121604,11.415494
167,2.686583,2.971910,5.269482,11.080759
168,2.807955,2.861478,4.678733,10.412970
169,2.612520,2.862338,5.152252,10.923777
170,2.836694,3.041187,4.844610,10.988937
171,2.570394,2.875236,5.326050,11.543082
172,2.805032,2.928985,4.810720,10.905603
173,2.759510,2.943328,5.106309,10.680256
174,2.616904,2.785022,4.944317,10.892890
175,2.666025,2.847661,5.170387,11.068456
176,2.652270,2.662784,4.938312,10.865982
177,2.744213,2.802766,5.285934,10.549801
178,2.710806,2.747642,4.926571,11.268571
179,2.610158,2.864741,5.217814,10.962698
180,2.594529,3.048307,4.864732,10.562113
181,2.770302,2.835162,5.166599,10.620911
182,2.852945,3.070786,5.509840,11.396626
183,2.672745,2.899546,5.240887,11.007850
184,2.656034,2.770121,5.101310,10.761348
185,2.649251,2.696763,4.926086,10.877811
186,2.697895,2.909951,5.146718,11.162615
187,2.531809,2.856833,4.974993,10.612541
188,2.703120,2.795143,5.157048,11.013794
189,2.631200,2.759144,5.075148,10.603060
190,2.696550,2.979499,5.186975,10.752331
191,2.934058,3.089442,5.537837,11.160410
192,2.637580,2.871082,5.008838,11.194935
193,2.778761,2.965801,5.357843,11.069214
194,2.719559,2.802926,5.302270,11.083233
195,2.678041,2.899806,5.341773,10.811098
196,2.693621,2.972156,5.564422,10.977771
197,2.727407,2.725630,5.043369,10.699752
198,2.590914,2.917845,5.359789,11.238227
199,2.724304,2.796896,5.215918,11.007582
200,2.651458,2.922699,5.002149,10.813129
201,2.720535,2.850978,4.778811,10.901853
202,2.674940,2.963191,5.080460,11.142440
203,2.805698,3.148932,5.681338,10.337853
204,2.740868,2.833749,5.606898,11.368152
205,2.616995,2.846531,5.324419,11.246078
206,2.454679,2.765046,5.024150,11.299121
207,2.611960,3.013877,5.026916,10.632421
208,2.816530,2.924835,5.246572,11.717111
209,2.780075,2.902788,5.326278,11.043816
210,2.730329,2.788360,4.853332,10.890852
211,2.759744,3.076963,5.480471,11.109596
212,2.630969,2.814253,5.134379,10.738301
213,2.694997,2.850078,4.856633,10.779263
214,2.723847,2.783682,4.973679,11.402580
215,2.649917,2.863979,5.049563,10.486394
216,2.666732,3.030777,4.991187,10.586212
217,2.782367,3.093175,5.676532,10.751799
218,2.751632,2.884681,5.319275,11.043550
219,2.732743,2.898732,5.127136,11.242175
220,2.873528,2.941248,5.426067,11.282618
221,2.716323,2.815913,4.817535,10.572527
222,2.921475,3.152611,5.583591,10.660620
223,2.636148,2.691694,4.998124,10.924410
224,2.853466,3.095217,5.112179,11.092804
225,2.749843,3.005400,4.994417,10.763218
226,2.775210,3.076447,5.465266,11.046171
227,2.788865,2.871442,5.251514,10.980231
228,2.694226,2.868313,5.138827,10.457724
229,2.650732,2.936107,4.970462,11.037325
230,2.677471,2.982860,4.909981,10.755977
231,2.700956,2.690060,5.352788,11.254019
232,2.605428,3.020130,4.851929,10.986976
233,2.676101,2.848204,4.965055,10.394763
234,2.636371,2.940645,5.011557,10.836088
235,2.830492,2.802630,5.495358,10.870901
236,2.695261,2.945748,5.337898,10.924803
237,2.662852,2.911410,5.278542,10.739427
238,2.693696,3.141215,5.092191,10.561753
239,2.638419,2.908050,5.132248,11.004937
240,2.729039,3.030485,5.349774,11.439112
241,2.649880,2.903102,4.889972,10.809105
242,2.700027,2.789735,5.096299,11.005781
243,2.522852,2.703568,5.053953,11.021425
244,2.849241,2.956273,4.988925,10.706707
245,2.620672,2.694868,4.910915,11.242508
246,2.690082,2.855576,5.063612,11.460114
247,2.826609,2.972001,5.099774,11.077132
248,2.730524,3.058708,5.348832,11.188468
249,2.868821,3.123933,5.753374,10.853383
250,2.645594,2.892724,4.943413,11.381620
251,2.722713,2.763153,5.176116,10.618330
252,2.708823,2.859684,5.166391,11.297072
253,2.704435,2.829581,5.089564,10.750629
254,2.711084,3.043889,5.033393,10.351574
255,2.670365,2.929150,5.511576,10.590689
column_sum,690.596436,741.538147,1322.628296,2806.108643
