row,loss,kld,cc,sim,nss,auc,ig,delta_loss,delta_kld,delta_cc,delta_sim,delta_nss,delta_auc,delta_ig
baseline,1.049624,0.249320,0.688068,0.755513,1.297685,0.863705,1.553077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
zero block 2 (/16),1.601177,0.302147,0.690656,0.729636,1.320064,0.855590,1.479354,0.551553,0.052826,0.002588,-0.025877,0.022378,-0.008114,-0.073722
zero block 5 (/16),1.572670,0.299335,0.691549,0.729134,1.319981,0.857060,1.482897,0.523046,0.050015,0.003481,-0.026378,0.022296,-0.006645,-0.070179
zero block 8 (/16),1.938268,0.327747,0.630266,0.708938,1.170774,0.852969,1.383417,0.888644,0.078427,-0.057802,-0.046575,-0.126911,-0.010735,-0.169660
zero block 11 (/16),1.429717,0.283449,0.665193,0.739583,1.238597,0.862062,1.522371,0.380093,0.034129,-0.022875,-0.015930,-0.059088,-0.001643,-0.030705
